day,domain,messages
2021-08-29,openlineage,0
2021-08-28,openlineage,0
2021-08-21,openlineage,0
2021-08-15,openlineage,0
2021-08-14,openlineage,0
2021-08-08,openlineage,0
2021-08-07,openlineage,0
2021-08-01,openlineage,0
2021-07-31,openlineage,0
2021-07-25,openlineage,0
2021-07-24,openlineage,0
2021-07-18,openlineage,0
2021-07-17,openlineage,0
2021-07-15,openlineage,0
2021-07-11,openlineage,0
2021-07-10,openlineage,0
2021-07-06,openlineage,0
2021-07-05,openlineage,0
2021-07-04,openlineage,0
2021-06-28,openlineage,0
2021-06-27,openlineage,0
2021-06-26,openlineage,0
2021-06-25,openlineage,0
2021-06-24,openlineage,0
2021-06-23,openlineage,0
2021-06-13,openlineage,0
2021-06-12,openlineage,0
2021-06-07,openlineage,0
2021-06-06,openlineage,0
2021-06-05,openlineage,0
2021-05-30,openlineage,0
2021-05-29,openlineage,0
2021-05-23,openlineage,0
2021-05-19,openlineage,0
2021-05-16,openlineage,0
2021-05-15,openlineage,0
2021-05-13,openlineage,0
2021-05-12,openlineage,0
2021-05-11,openlineage,0
2021-05-10,openlineage,0
2021-05-09,openlineage,0
2021-05-08,openlineage,0
2021-05-07,openlineage,0
2021-05-05,openlineage,0
2021-05-04,openlineage,0
2021-05-03,openlineage,0
2021-05-02,openlineage,0
2021-05-01,openlineage,0
2021-04-30,openlineage,0
2021-04-29,openlineage,0
2021-04-27,openlineage,0
2021-04-25,openlineage,0
2021-04-24,openlineage,0
2021-04-18,openlineage,0
2021-04-17,openlineage,0
2021-04-15,openlineage,0
2021-04-12,openlineage,0
2021-04-11,openlineage,0
2021-04-10,openlineage,0
2021-04-09,openlineage,0
2021-04-04,openlineage,0
2021-09-05,openlineage,1
2021-09-04,openlineage,1
2021-07-03,openlineage,1
2021-06-19,openlineage,1
2021-06-03,openlineage,1
2021-06-02,openlineage,1
2021-05-31,openlineage,1
2021-05-27,openlineage,1
2021-05-25,openlineage,1
2021-04-26,openlineage,1
2021-04-22,openlineage,1
2021-04-21,openlineage,1
2021-04-08,openlineage,1
2021-04-06,openlineage,1
2021-04-03,openlineage,1
2021-08-24,openlineage,2
2021-07-23,openlineage,2
2021-07-19,openlineage,2
2021-06-15,openlineage,2
2021-06-14,openlineage,2
2021-05-24,openlineage,2
2021-05-18,openlineage,2
2021-05-14,openlineage,2
2021-04-23,openlineage,2
2021-04-14,openlineage,2
2021-04-07,openlineage,2
2021-04-05,openlineage,2
2021-08-22,openlineage,3
2021-08-16,openlineage,3
2021-06-21,openlineage,3
2021-05-22,openlineage,3
2021-05-17,openlineage,3
2021-04-20,openlineage,3
2021-08-30,openlineage,4
2021-07-16,openlineage,4
2021-07-09,openlineage,4
2021-06-30,openlineage,4
2021-06-29,openlineage,4
2021-04-13,openlineage,4
2021-08-25,openlineage,5
2021-08-19,openlineage,5
2021-08-17,openlineage,5
2021-08-02,openlineage,5
2021-07-20,openlineage,5
2021-07-14,openlineage,5
2021-06-11,openlineage,5
2021-04-28,openlineage,5
2021-04-02,openlineage,5
2021-07-28,openlineage,6
2021-06-18,openlineage,6
2021-06-08,openlineage,6
2021-06-04,openlineage,6
2021-05-26,openlineage,6
2021-05-20,openlineage,6
2021-04-16,openlineage,6
2021-08-27,openlineage,7
2021-08-18,openlineage,7
2021-06-20,openlineage,7
2021-09-06,openlineage,8
2021-08-09,openlineage,8
2021-07-29,openlineage,8
2021-07-21,openlineage,8
2021-07-12,openlineage,8
2021-05-06,openlineage,8
2021-07-13,openlineage,9
2021-06-10,openlineage,9
2021-04-19,openlineage,9
2021-08-26,openlineage,10
2021-07-30,openlineage,10
2021-07-08,openlineage,10
2021-07-07,openlineage,10
2021-06-01,openlineage,10
2021-05-28,openlineage,10
2021-08-06,openlineage,11
2021-05-21,openlineage,11
2021-09-01,openlineage,12
2021-08-23,openlineage,12
2021-08-20,openlineage,12
2021-07-22,openlineage,12
2021-07-26,openlineage,14
2021-07-02,openlineage,15
2021-07-01,openlineage,15
2021-06-09,openlineage,15
2021-06-22,openlineage,16
2021-08-13,openlineage,17
2021-08-04,openlineage,17
2021-08-03,openlineage,17
2021-08-10,openlineage,18
2021-08-05,openlineage,18
2021-06-16,openlineage,20
2021-06-17,openlineage,21
2021-09-03,openlineage,23
2021-08-31,openlineage,25
2021-09-02,openlineage,26
2021-07-27,openlineage,26
2021-08-12,openlineage,36
2021-08-11,openlineage,51
2021-09-04,marquezproject,0
2021-08-29,marquezproject,0
2021-08-28,marquezproject,0
2021-08-22,marquezproject,0
2021-08-21,marquezproject,0
2021-08-15,marquezproject,0
2021-08-08,marquezproject,0
2021-08-07,marquezproject,0
2021-08-01,marquezproject,0
2021-07-31,marquezproject,0
2021-07-25,marquezproject,0
2021-07-24,marquezproject,0
2021-07-17,marquezproject,0
2021-07-11,marquezproject,0
2021-07-10,marquezproject,0
2021-07-04,marquezproject,0
2021-06-28,marquezproject,0
2021-06-27,marquezproject,0
2021-06-26,marquezproject,0
2021-06-25,marquezproject,0
2021-06-24,marquezproject,0
2021-06-23,marquezproject,0
2021-06-20,marquezproject,0
2021-06-19,marquezproject,0
2021-06-12,marquezproject,0
2021-06-09,marquezproject,0
2021-06-08,marquezproject,0
2021-06-07,marquezproject,0
2021-06-06,marquezproject,0
2021-06-05,marquezproject,0
2021-06-04,marquezproject,0
2021-06-03,marquezproject,0
2021-06-01,marquezproject,0
2021-05-31,marquezproject,0
2021-05-30,marquezproject,0
2021-05-29,marquezproject,0
2021-05-28,marquezproject,0
2021-05-26,marquezproject,0
2021-05-23,marquezproject,0
2021-05-22,marquezproject,0
2021-05-18,marquezproject,0
2021-05-16,marquezproject,0
2021-05-15,marquezproject,0
2021-05-11,marquezproject,0
2021-05-10,marquezproject,0
2021-05-09,marquezproject,0
2021-05-02,marquezproject,0
2021-05-01,marquezproject,0
2021-04-27,marquezproject,0
2021-04-25,marquezproject,0
2021-04-24,marquezproject,0
2021-04-23,marquezproject,0
2021-04-22,marquezproject,0
2021-04-21,marquezproject,0
2021-04-17,marquezproject,0
2021-04-14,marquezproject,0
2021-04-11,marquezproject,0
2021-04-10,marquezproject,0
2021-04-04,marquezproject,0
2021-09-06,marquezproject,1
2021-09-05,marquezproject,1
2021-09-01,marquezproject,1
2021-08-12,marquezproject,1
2021-08-06,marquezproject,1
2021-08-05,marquezproject,1
2021-07-30,marquezproject,1
2021-07-18,marquezproject,1
2021-07-07,marquezproject,1
2021-07-03,marquezproject,1
2021-06-30,marquezproject,1
2021-06-10,marquezproject,1
2021-06-02,marquezproject,1
2021-05-08,marquezproject,1
2021-05-04,marquezproject,1
2021-05-03,marquezproject,1
2021-04-26,marquezproject,1
2021-04-18,marquezproject,1
2021-04-15,marquezproject,1
2021-04-13,marquezproject,1
2021-04-07,marquezproject,1
2021-08-23,marquezproject,2
2021-08-13,marquezproject,2
2021-08-09,marquezproject,2
2021-07-29,marquezproject,2
2021-07-09,marquezproject,2
2021-06-21,marquezproject,2
2021-06-15,marquezproject,2
2021-06-11,marquezproject,2
2021-05-27,marquezproject,2
2021-05-20,marquezproject,2
2021-05-19,marquezproject,2
2021-05-13,marquezproject,2
2021-05-12,marquezproject,2
2021-05-05,marquezproject,2
2021-04-30,marquezproject,2
2021-04-20,marquezproject,2
2021-04-12,marquezproject,2
2021-04-05,marquezproject,2
2021-09-03,marquezproject,3
2021-08-14,marquezproject,3
2021-08-03,marquezproject,3
2021-07-27,marquezproject,3
2021-07-19,marquezproject,3
2021-07-16,marquezproject,3
2021-06-13,marquezproject,3
2021-05-25,marquezproject,3
2021-05-24,marquezproject,3
2021-04-29,marquezproject,3
2021-04-28,marquezproject,3
2021-04-19,marquezproject,3
2021-04-16,marquezproject,3
2021-04-08,marquezproject,3
2021-04-06,marquezproject,3
2021-04-03,marquezproject,3
2021-04-02,marquezproject,3
2021-08-30,marquezproject,4
2021-08-10,marquezproject,4
2021-08-04,marquezproject,4
2021-08-02,marquezproject,4
2021-07-23,marquezproject,4
2021-07-20,marquezproject,4
2021-07-12,marquezproject,4
2021-07-08,marquezproject,4
2021-05-14,marquezproject,4
2021-07-02,marquezproject,5
2021-07-01,marquezproject,5
2021-06-14,marquezproject,5
2021-07-28,marquezproject,6
2021-07-13,marquezproject,6
2021-06-18,marquezproject,6
2021-05-17,marquezproject,6
2021-08-31,marquezproject,7
2021-08-16,marquezproject,7
2021-07-21,marquezproject,8
2021-06-29,marquezproject,8
2021-06-16,marquezproject,8
2021-08-24,marquezproject,9
2021-07-05,marquezproject,9
2021-05-07,marquezproject,9
2021-08-27,marquezproject,10
2021-08-26,marquezproject,10
2021-08-20,marquezproject,10
2021-07-22,marquezproject,10
2021-08-19,marquezproject,11
2021-07-06,marquezproject,12
2021-07-26,marquezproject,13
2021-06-17,marquezproject,13
2021-08-17,marquezproject,14
2021-08-11,marquezproject,14
2021-05-06,marquezproject,14
2021-04-09,marquezproject,14
2021-06-22,marquezproject,15
2021-09-02,marquezproject,16
2021-07-15,marquezproject,17
2021-08-25,marquezproject,21
2021-05-21,marquezproject,23
2021-07-14,marquezproject,36
2021-08-18,marquezproject,38